食材,單位,麻婆豆腐,泡菜雞肉鴻喜菇,咖哩飯,蝦醬空心菜,番茄豆腐蛋花湯
咖哩塊,克,,,20.0,,
豬絞肉,克,75.0,,,,
豆腐,克,107.5,,,,50.0
洋蔥,顆,0.1,,0.3,,
青蔥,克,8.8,,,,
泡菜,克,,22.5,,,
雞胸肉,克,,50.0,,,
鴻喜菇,克,,37.5,,,
蔥,克,,5.0,,,5.0
醬油,匙,0.2,0.5,,,
糖,匙,0.1,,,0.1,
辣豆瓣醬,克,12.5,,,,
麵粉,克,2.5,,,,
清水,克,55.0,,,,150.0
麻油,匙,,0.5,,,
鹽,匙,,0.1,,0.1,0.1
胡椒,匙,,0.1,,,
油,匙,,0.2,,,
蒜頭,顆,,,0.2,0.2,
辣椒,適量,,,-1.0,-1.0,
巧克力,克,,,5.0,25.0,
雞腿肉,克,,,50.0,,
紅蘿蔔,克,,,25.0,,
番茄,顆,,,0.2,,0.8
奶油,適量,,,-1.0,,
鮮奶油,適量,,,-1.0,,
馬鈴薯,克,,,50.0,,
空心菜,克,,,,75.0,
素蠔油,匙,,,,0.2,
料理米酒,匙,,,,0.2,
魚露,少許,,,,-1.0,
胡椒,匙,,,,,0.1
蛋,顆,,,,,0.5
